language,comment_count,avg_length,emoji_rate,cpm,entropy,percentage,match,stream
other,32,9.65625,81.25,0.20626145204270036,4.27137063120492,0.3491162993672267,ブラジルvs日本,Ja_abema
ko,150,9.613333333333333,100.0,0.9668505564501579,6.411463481645825,1.6364826532838752,ブラジルvs日本,Ja_abema
en,21,50.523809523809526,28.57142857142857,0.13535907790302212,3.9701755190117636,0.2291075714597425,ブラジルvs日本,Ja_abema
zh,114,6.201754385964913,100.0,0.7348064229021201,5.072192709547155,1.2437268164957451,ブラジルvs日本,Ja_abema
ja,9832,14.46206265256306,100.0,58.35998035638991,12.066124096555704,95.34522885958107,ブラジルvs日本,Ja_goat
ko,175,5.942857142857143,100.0,1.0387506674499831,6.6027837988690985,1.6970519782777347,ブラジルvs日本,Ja_goat
zh,66,5.378787878787879,100.0,0.3917573945811365,5.314679912586055,0.6400310318076028,ブラジルvs日本,Ja_goat
other,20,12.15,90.0,0.11871436199428378,4.228062049974946,0.1939487975174554,ブラジルvs日本,Ja_goat
de,197,14.426395939086294,3.0456852791878175,1.6620618493187984,6.899379502053719,2.643585614600107,ブラジルvs日本,UK
en,4546,41.21997360316762,9.61284645842499,38.35397546702161,9.95778731352446,61.00375738056898,ブラジルvs日本,UK
other,1767,16.637804187889078,9.111488398415393,14.907935470793488,9.435931806321523,23.711755233494365,ブラジルvs日本,UK
nl,95,20.63157894736842,7.368421052631578,0.8015019070319079,6.453254747208792,1.274825550187869,ブラジルvs日本,UK
fr,50,13.56,16.0,0.42184310896416205,5.283728245906843,0.6709608158883521,ブラジルvs日本,UK
it,214,17.96728971962617,15.42056074766355,1.8054885063666135,6.852539660559554,2.871712292002147,ブラジルvs日本,UK
pt,177,14.333333333333334,8.47457627118644,1.4933246057331337,6.566422703582915,2.375201288244767,ブラジルvs日本,UK
es,77,21.467532467532468,10.38961038961039,0.6496383878048095,5.684695548903395,1.0332796564680624,ブラジルvs日本,UK
ja,28,11.178571428571429,100.0,0.23623214101993076,2.0445604056101567,0.3757380568974772,ブラジルvs日本,UK
en,3558,40.397133220910625,10.370994940978077,39.29357411674271,10.107892263405109,60.03036949552894,リーズユナイテッドvsスパーズ,LEEDS VS TOTTENHAM LIVE _ PREMIER LEAGUE WATCHALONG with EXPRESSIONS_chat_log
